membantu	-1.090643742
membatalkan	-1.090643742
membenci	-1.564562777
membuka	-1.090643742
membunuh	-1.102093467
memerangi	-1.090643742
mempertanyakan	-1.090643742
memuji	-1.033267875
menahan	-1.102253097
menanti	-1.091226398
menarik	-1.093646579
mencurigakan	-1.090643742
mendapatkan	-1.043647556
menderita	-1.563005409
mendoktrin	-1.090643742
mendorong	-1.036993428
mendukung	-1.252564828
mendung	-1.090643742
menembak	-1.093229402
menerima	-1.090643742
mengakui	-1.090643742
mengamankan	-1.090643742
mengeluarkan	-1.089889778
mengembalikan	-0.895955877
mengerikan	-1.169210502
menghancurkan	-1.034383177
menghargai	-1.093111534
menghindari	-1.090643742
mengusir	-1.090643742
mengutuk	-1.090643742
meninggal	-1.044970259
meningkatkan	-1.005981204
menolak	-1.090643742
menunggu	-1.090643742
menurunkan	-1.090643742
menyadari	-1.090643742
menyalahkan	-1.090643742
menyambut	-1.090643742
menyebabkan	-1.110210011
menyerang	-1.175605778
menyeret	-1.090643742
menyesatkan	-1.090643742
menyita	-1.090643742
meragukan	-1.090643742
meruntuhkan	-2.032999905
minta	-1.090643742
minta maaf	-1.090643742
miskin	-1.090643742
moga	-1.090643742
muda	-1.099335946
mudah	-1.090643742
muka	-1.029683619
mulia	-1.020277592
mundur	-2.119954742
murah	-1.090643742
murka	-1.090643742
musuh	-1.090643742
nanti	-1.126289503
nekat	-1.090643742
neraka	-1.047787158
ngeri	-1.090643742
ngerti	-1.203282438
nilai	-1.302926013
oke	-1.355454577
oleh	-1.087640904
orang bodoh	-0.83620586
pada	-1.090643742
padat	-1.090643742
pahlawan	-0.468073305
palsu	-1.140016781
panas	-1.075946845
panik	-1.090643742
panjang	-1.090643742
pantat	-1.090643742
parodi	-1.090643742
pasti	-1.051711844
pecah	-0.927315542
peduli	-0.947345481
pelaku	-1.090643742
pelaku kejahatan	-1.092494902
pembela	-1.090643742
pemberani	-1.090643742
pemberontakan	-0.675547218
penangkapan	-1.090643742
pendukung	-1.198878986
penembakan	-1.090643742
pengecut	-1.089992516
pengunjung	-2.017191578
penjara	-1.111055341
penting	5
penuh	-1.382734204
penularan	-0.938669688
penyelamat	-1.159940756
penyelidikan	-1.138301063
perampok	-1.090643742
perang	-1.061848689
perasaan	-1.086243202
percaya	-1.090643742
perdamaian	-1.118005148
peringatan	-0.960056103
perjuangan	-1.071254822
pertanyaan	-1.079791032
pertempuran	-1.090643742
pikir	-1.043800399
pintar	-1.090643742
populer	-1.078532505
positif	-1.115690631
potong	-1.090643742
puja	-1.090643742
puji	-1.090643742
pukul	-1.090643742
pulih	-1.247060272
pura	-1.090643742
pusing	-1.161467007
racun	-1.058793777
rahmat	-1.086696114
rampas	-1.096619417
ras	-0.94247908
raya	-1.017747719
rela	-1.090643742
rindu	-1.090643742
runtuh	-1.090643742
sadar	-1.154033348
saham	-1.090643742
sakit	-1.090643742
salah	-1.090643742
salam	-1.090643742
salut	-1.494789942
sama	-1.090643742
samping	-1.090643742
sangat	-1.09146378
santai	-1.115042219
sapa	-1.090643742
saran	-0.989108279
sayang	-1.104021678
sebab	-1.079034386
sebut	-1.090643742
sedih	-1.190172936
segan	-1.044240948
selamat	-0.842506989
selesai	-1.008971435
semangat	-1.090643742
sembunyi	-1.101819905
semoga	-1.090643742
sempat	-1.102701872
senang	-0.978034178
sendiri	-1.142292899
senjata	-1.136317224
senyum	-1.328443413
